Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Hector Neris","PHI",74.1,310,11.86547085,3.87443946,3.0625,1.4529148,0.31612903,0.10322581,0.21290322,0.20220588,1.17040359,0.26219512,0.76819407,4.084198615883789,3.647126726687262,11804
2021,"Taijuan Walker","NYM",159,654,8.26415094,3.11320755,2.65454545,1.47169811,0.22324159,0.08409786,0.13914373,0.22542373,1.18238994,0.25295508,0.6940874,4.5719161258837895,4.465806529132076,11836
2021,"Kyle Hendricks","CHC",181,785,6.51381215,2.1878453,2.97727273,1.54143646,0.16687898,0.05605096,0.11082802,0.27816412,1.3480663,0.29858657,0.73033708,4.893157315883789,4.606550127992314,12049
2021,"Yimi Garcia","2 Tms",57.2,237,9.36416185,2.80924856,3.33333333,1.24855491,0.25316456,0.07594937,0.17721519,0.23004695,1.16184971,0.27333333,0.61619718,3.8803830658837897,3.7597648423180052,12095
2021,"Chris Bassitt","OAK",157.1,637,9.09533898,2.2309322,4.07692308,0.85805085,0.24960754,0.06122449,0.18838305,0.21783877,1.05508475,0.27118644,0.78205128,3.3410105758837894,3.9295963512421084,12304
2021,"Blake Treinen","LAD",72.1,286,10.57603687,3.11059908,3.4,0.62211982,0.2972028,0.08741259,0.20979021,0.17898833,0.98156682,0.24404762,0.80597015,2.8790778258837895,3.248907609033513,12572
2021,"Trevor Bauer","LAD",107.2,432,11.45201238,3.09287926,3.7027027,1.58823529,0.31712963,0.08564815,0.23148148,0.18205128,1.00309598,0.22033898,0.88862559,4.033177495883789,3.6892333724574016,12703
2021,"Adrian Houser","MIL",142.1,599,6.63934426,4.04683841,1.640625,0.7587822,0.17529215,0.10684474,0.06844741,0.22779923,1.27868852,0.2591687,0.74626866,4.328650995883789,4.3111323680882645,12718
2021,"Sonny Gray","CIN",135.1,575,10.30788177,3.32512315,3.1,1.2635468,0.26956522,0.08695652,0.1826087,0.22460938,1.21921182,0.27988338,0.72404372,3.9895974458837893,3.663816010978855,12768
2021,"Andrew Kittredge","TBR",71.2,282,9.66976744,1.88372093,5.13333333,0.87906977,0.27304965,0.05319149,0.21985816,0.20992366,0.97674419,0.26666667,0.82278481,3.043819005883789,3.054298373715631,12828
2021,"Matt Barnes","BOS",54.2,222,13.82926829,3.29268293,4.2,1.31707317,0.37837838,0.09009009,0.28828829,0.20603015,1.11585366,0.30555556,0.73359073,3.2059857758837893,3.014195474301184,12863
2021,"Tyler Anderson","2 Tms",167,703,7.22155689,2.04790419,3.52631579,1.45508982,0.19061166,0.05405405,0.13655761,0.26234568,1.24550898,0.28429423,0.71261682,4.36700519588379,4.600189863172121,12880
2021,"Dylan Bundy","LAA",90.2,397,8.33823529,3.375,2.47058824,1.98529412,0.2115869,0.08564232,0.12594458,0.25284091,1.35661765,0.27272727,0.64356436,5.507635695883789,4.663908222613366,12917
2021,"Archie Bradley","PHI",51,224,7.05882353,3.88235294,1.81818182,0.88235294,0.17857143,0.09821429,0.08035714,0.25757576,1.43137255,0.2987013,0.75362319,4.345870995883789,4.5590285748827695,12918
2021,"Joe Musgrove","SDP",181.1,748,10.07536765,2.68014706,3.75925926,1.09191176,0.27139037,0.07219251,0.19919786,0.21289355,1.08088235,0.26607539,0.79694323,3.6988121658837896,3.649276356966675,12970
2021,"Joe Ross","WSN",108,460,9.08333333,2.83333333,3.20588235,1.41666667,0.23695652,0.07391304,0.16304348,0.23728814,1.22222222,0.27739726,0.71428571,4.363844845883789,4.114666131138802,12972
2021,"Andrew Chafin","2 Tms",68.2,266,8.38834952,2.49029126,3.36842105,0.52427184,0.2406015,0.07142857,0.16917293,0.18595041,0.93203884,0.23163842,0.86092715,2.9800800158837886,3.9958064321688354,12988
2021,"Anthony DeSclafani","SFG",167.2,676,8.15904573,2.25447316,3.61904762,1.01988072,0.22485207,0.06213018,0.16272189,0.22523962,1.09145129,0.26464208,0.78282828,3.616716505883789,3.953600086638329,13050
2021,"Yu Darvish","SDP",166.1,681,10.76753507,2.38076152,4.52272727,1.51503006,0.29221733,0.06461087,0.22760646,0.22150883,1.09418838,0.27363184,0.72281167,3.9028673358837898,3.7512020134134634,13074
2021,"Gerrit Cole","NYY",181.1,726,12.06066176,2.03492647,5.92682927,1.19117647,0.33471074,0.05647383,0.27823691,0.22304284,1.05882353,0.30528846,0.77930175,2.92123864588379,2.9326585092702646,13125
2021,"Eduardo Rodriguez","BOS",157.2,675,10.5602537,2.68287526,3.93617021,1.0845666,0.27407407,0.06962963,0.20444444,0.27652733,1.38900634,0.36255924,0.68930041,3.3216202758837894,3.4336693708482886,13164
2021,"Zach Davies","CHC",148,668,6.93243243,4.56081081,1.52,1.52027027,0.17065868,0.11227545,0.05838323,0.28076256,1.60135135,0.30512249,0.69082126,5.446427435883789,5.0268461092501076,13183
2021,"Michael Fulmer","DET",69.2,297,9.43062201,2.58373206,3.65,0.90430622,0.24579125,0.06734007,0.17845118,0.25555556,1.27751196,0.32291667,0.79572447,3.456481745883789,3.8724928138022334,13218
2021,"Ross Stripling","TOR",101.1,431,8.34868421,2.66447368,3.13333333,2.04276316,0.21809745,0.06960557,0.14849188,0.25063291,1.27302632,0.26950355,0.76923077,5.212163565883789,4.594748992284492,13273
2021,"Luis Cessa","2 Tms",64.2,261,7.51546392,2.6443299,2.84210526,0.69587629,0.20689655,0.07279693,0.13409962,0.22916667,1.1443299,0.27322404,0.74626866,3.385895255883789,3.826856030791262,13345
